ID,Severity,Category,Component,Issue,Impact,Fix,Effort_Hours,PR_Number,Status
H-012,HIGH,Security,package.json,Unused dependency: recharts,200+ KB bundle bloat; no component uses it,"npm uninstall recharts; verify no imports reference it",1,#6,Pending
M-001,MEDIUM,Performance,Work.tsx + Hero.tsx + SuccessStories.tsx,Images missing width/height attributes (CLS),Layout shift on image load causes jank,"Add width={1000} height={625} to all <img> tags; use aspect-[16/10]",2,#3,Pending
M-002,MEDIUM,UX,Contact.tsx,No loading state in form submission,User doesn't know if form is processing,"Show spinner: {isSubmitting && <Spinner />} during submission",1,#4,Pending
M-003,MEDIUM,UX,Hero.tsx + Work.tsx,Mobile viewport overflow on some resolutions,Text cut-off or horizontal scroll on small screens,"Test 375px; check overflow-x: hidden on body; use max-w-full on children",2,#1,Pending
M-004,MEDIUM,QA,App.tsx,No Error Boundary component,Runtime crash crashes entire app; no graceful fallback,"Add <ErrorBoundary> wrapper around App; catch errors and show fallback UI",2,#6,Pending
M-005,MEDIUM,Code,Navbar.tsx,Hardcoded PDF path "/AbuRahatSabir-Resume.pdf",URL maintenance scattered; breaks if renamed,"Move to constants.tsx: export const RESUME_URL = '...'",1,#6,Pending
M-006,MEDIUM,Performance,ScrollToTop.tsx,Scroll event not throttled (fires 60+x/sec),Scroll handler may cause INP delays >100ms,"Add useCallback + debounce 150ms; use { passive: true } listener",2,#3,Pending
M-007,MEDIUM,Performance,index.html,No preload for Google Fonts,Fonts slow to load; FOUT (flash of unstyled text),"Verify font-display=swap in URL; add <link rel='preload' ...> (already present)",1,#3,Pending
M-008,MEDIUM,Code,Navbar.tsx + ScrollToTop.tsx,Multiple z-index layers (300, 310, etc),Z-index stacking confusion; no clear priority,"Create z-index token: export const Z_INDEX = { nav: 300, navOpen: 310, ... }",1,#6,Pending
M-009,MEDIUM,UX,/public/,No PWA manifest (site.webmanifest),Site not installable on mobile; no app icon,"Create /public/site.webmanifest with name/description/icons/theme_color",2,#6,Pending
M-010,MEDIUM,UX,App.tsx,No 404 error page for invalid routes,User sees blank page for typo routes like #/invalid,"Add NotFound component; catch invalid routes in renderContent()",2,#6,Pending
M-011,MEDIUM,Performance,Work.tsx + CaseStudyPage.tsx,Case study images not optimized (WEBP),Bandwidth waste; images 2–3x larger than needed,"Convert .jpg to .webp with fallback; use <picture> tag; reduce quality to 85",3,#3,Pending
M-012,MEDIUM,UX,README.md,No env variable documentation,Setup friction; new contributors confused,"Document .env.local requirements; create .env.local.example with GEMINI_API_KEY=your_key",1,#6,Pending
M-013,MEDIUM,Code,Multiple components,Font sizes not using design tokens,No single source of truth; drift risk,"Extract to @layer components: .text-label { @apply text-[10px] font-black; }",2,#6,Pending
M-014,MEDIUM,Code,Multiple components,Color hardcoded in multiple places,Color brand change requires regex across codebase,"Move to tailwind.config.js: colors: { 'brand-blue': '#1e40af', ... }",2,#6,Pending
M-015,MEDIUM,UX,App.tsx,No page transition animations (prefers-reduced-motion),Users with vestibular disorders see jarring motion,"Wrap animations in: if (!window.matchMedia('(prefers-reduced-motion)').matches) animate",2,#3,Pending
M-016,MEDIUM,UX,Contact.tsx,Form inputs missing placeholder text,UX clarity; no hints for field purpose,"Add placeholder='Your name' placeholder='Email address' etc.",1,#4,Pending
M-017,MEDIUM,Code,Multiple SVG icons,SVG icons not using proper viewBox (scaling issues),"Verify all SVGs have viewBox='0 0 24 24'; no missing or incorrect viewBox",1,#5,Pending
M-018,MEDIUM,Analytics,App.tsx,No analytics or error tracking,Blind spot; cannot track user behavior or bugs,"Add Google Analytics tag; add Sentry error tracking",2,#6,Pending
L-001,LOW,UX,Hero.tsx,Mandate toggle (sovereignty/efficiency) subtle,Users may miss the toggle; low discoverability,"Add visual indicator (pulse animation or tooltip) to toggle buttons",1,Backlog,Pending
L-002,LOW,Code,Contact.tsx,Form submission uses setTimeout (not real backend),"Security: form data not actually sent; user assumes submission works","Implement real backend endpoint for form storage (email + notification)",4,Future,Pending
L-003,LOW,UX,Work.tsx,No "Related case studies" CTA after case study,"Cross-sell opportunity missed; users leave instead of browsing more","Add 'You might also like' section with 3 random projects",2,Backlog,Pending
L-004,LOW,UX,Footer.tsx,Social links grid appears in both Contact + Footer,"Duplication; inconsistent positioning","Keep in Contact only; remove from Footer; link to #/contact instead",1,#5,Pending
L-005,LOW,Code,About.tsx,FAQ accordion state lost on page reload,(Low impact; users don't typically reload FAQ),"Add localStorage to persist openFaqIndex; or leave as-is (low priority)",1,Backlog,Pending
L-006,LOW,UX,Hero.tsx,No "Back to portfolio" link on case study detail,"Users forced to browser back button; breaks immersion","Add <Link to='#/work'>← Back to portfolio</Link> at top of CaseStudyPage",1,Backlog,Pending
L-007,LOW,UX,Contact.tsx,No CAPTCHA or spam protection,Form could receive spam submissions,"Integrate reCAPTCHA v3 or similar; verify on backend",2,Future,Pending
L-008,LOW,Code,Endorsements.tsx,Avatar images from ui-avatars.com (external dependency),"External service dependency; privacy concern if service logs IP","Download + store locally; update CDN link if needed",1,Backlog,Pending
